symptoms,predicted_condition,followup_questions
"inability_to_control, tolerance, using_more_of_the_substance, giving_up_important_activites",Substance Use Disorder,"['Is there a specific event that triggered your inability to control?', 'Do you notice using more of the substance getting worse over time?', 'Does tolerance affect your daily functioning?', 'Do you notice giving up important activites getting worse over time?']"
"continued_use_despite_social_problems, inability_to_control, using_more_of_the_substance, giving_up_important_activites, tolerance",Substance Use Disorder,"['Do you notice giving up important activites getting worse over time?', 'How do you usually cope with tolerance?', 'Does continued use despite social problems affect your daily functioning?', 'Have you had professional help for inability to control before?', 'Have you had professional help for using more of the substance before?']"
"withdrawal_symptoms, inability_to_control, giving_up_important_activites, continued_use_despite_social_problems, using_more_of_the_substance",Substance Use Disorder,"['Is withdrawal symptoms interfering with your relationships or work?', 'Have you talked to anyone about your continued use despite social problems?', 'Have you had professional help for inability to control before?', 'Have you talked to anyone about your giving up important activites?', 'Does using more of the substance affect your daily functioning?']"
"withdrawal_symptoms, using_more_of_the_substance, continued_use_despite_social_problems, tolerance, inability_to_control, giving_up_important_activites",Substance Use Disorder,"['Does withdrawal symptoms affect your daily functioning?', 'On a scale of 1 to 10, how severe is your giving up important activites?', 'Is there a specific event that triggered your inability to control?', 'Have you talked to anyone about your tolerance?', 'How long have you experienced using more of the substance?']"
"difficulty_making_friends, repetitive_behaviors, difficulty_in_social_interaction, difficulty_in_maintaining_eye_contact, repeating_words, difficulty_understanding_non_verbal_cues",Autism Spectrum Disorder,"['Have you talked to anyone about your repetitive behaviors?', 'Is there a specific event that triggered your difficulty in maintaining eye contact?', 'How do you usually cope with difficulty understanding non verbal cues?', 'Does difficulty making friends affect your daily functioning?', 'Is there a specific event that triggered your difficulty in social interaction?']"
"difficulty_in_maintaining_eye_contact, repeating_words, difficulty_making_friends, difficulty_understanding_non_verbal_cues, difficulty_in_social_interaction, repetitive_behaviors",Autism Spectrum Disorder,"['Is there a specific event that triggered your difficulty understanding non verbal cues?', 'Does anything help relieve your repeating words?', 'Have you had professional help for difficulty in social interaction before?', 'Is there a specific event that triggered your repetitive behaviors?', 'Have you talked to anyone about your difficulty in maintaining eye contact?']"
"resistance_to_change, difficulty_understanding_non_verbal_cues, repetitive_behaviors, difficulty_in_social_interaction, difficulty_making_friends, repeating_words",Autism Spectrum Disorder,"['How do you usually cope with resistance to change?', 'On a scale of 1 to 10, how severe is your difficulty making friends?', 'Does difficulty in social interaction affect your daily functioning?', 'Does anything help relieve your difficulty understanding non verbal cues?', 'Does repetitive behaviors affect your daily functioning?']"
"difficulty_in_social_interaction, repeating_words, resistance_to_change, difficulty_understanding_non_verbal_cues",Autism Spectrum Disorder,"['Have you talked to anyone about your difficulty in social interaction?', 'Does repeating words affect your daily functioning?', 'Have you talked to anyone about your resistance to change?', 'Do you notice difficulty understanding non verbal cues getting worse over time?']"
"difficulty_making_friends, difficulty_in_social_interaction, difficulty_understanding_non_verbal_cues, intense_focus_on_specific_interests",Autism Spectrum Disorder,"['Is there a specific event that triggered your difficulty making friends?', 'Is intense focus on specific interests interfering with your relationships or work?', 'Have you had professional help for difficulty in social interaction before?', 'How do you usually cope with difficulty understanding non verbal cues?']"
"intrusive_memories, difficulty_concentrating, flashbacks, hypervigilance",Post-Traumatic Stress Disorder (PTSD),"['Is hypervigilance interfering with your relationships or work?', 'Does flashbacks affect your daily functioning?', 'How long have you experienced difficulty concentrating?', 'Have you had professional help for intrusive memories before?']"
"nightmares, negative_changes, angry_outbursts, intrusive_memories, flashbacks",Post-Traumatic Stress Disorder (PTSD),"['Does anything help relieve your negative changes?', 'Does angry outbursts affect your daily functioning?', 'How long have you experienced flashbacks?', 'Does anything help relieve your nightmares?', 'How do you usually cope with intrusive memories?']"
"flashbacks, difficulty_concentrating, hypervigilance, intrusive_memories",Post-Traumatic Stress Disorder (PTSD),"['Is there a specific event that triggered your hypervigilance?', 'Have you talked to anyone about your flashbacks?', 'Have you had professional help for difficulty concentrating before?', 'How do you usually cope with intrusive memories?']"
"nightmares, hypervigilance, angry_outbursts, flashbacks",Post-Traumatic Stress Disorder (PTSD),"['Does anything help relieve your angry outbursts?', 'Do you notice hypervigilance getting worse over time?', 'Have you talked to anyone about your nightmares?', 'Does anything help relieve your flashbacks?']"
"nightmares, hypervigilance, intrusive_memories, negative_changes",Post-Traumatic Stress Disorder (PTSD),"['Is nightmares interfering with your relationships or work?', 'Is intrusive memories interfering with your relationships or work?', 'Have you talked to anyone about your hypervigilance?', 'Is there a specific event that triggered your negative changes?']"
"memory_loss, hearing_voices, blackouts, sudden_shift_in_mood, feeling_detached_from_oneself, panic",Dissociative Identity Disorder,"['Have you talked to anyone about your feeling detached from oneself?', 'On a scale of 1 to 10, how severe is your sudden shift in mood?', 'How do you usually cope with hearing voices?', 'How do you usually cope with panic?', 'Have you talked to anyone about your blackouts?']"
"hearing_voices, panic, memory_loss, feeling_detached_from_oneself, sudden_shift_in_mood, blackouts",Dissociative Identity Disorder,"['Does anything help relieve your blackouts?', 'Is there a specific event that triggered your hearing voices?', 'Does anything help relieve your sudden shift in mood?', 'Does memory loss affect your daily functioning?', 'How long have you experienced feeling detached from oneself?']"
"panic, memory_loss, sudden_shift_in_mood, feeling_detached_from_oneself",Dissociative Identity Disorder,"['How do you usually cope with panic?', 'How do you usually cope with memory loss?', 'How long have you experienced feeling detached from oneself?', 'Have you had professional help for sudden shift in mood before?']"
"hearing_voices, blackouts, panic, sudden_shift_in_mood, memory_loss",Dissociative Identity Disorder,"['How long have you experienced panic?', 'Is there a specific event that triggered your memory loss?', 'How long have you experienced sudden shift in mood?', 'On a scale of 1 to 10, how severe is your blackouts?', 'Does anything help relieve your hearing voices?']"
